"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"90-04042024-044523";"";
"REFERENCE";"436450310";"";
"TraceParts.PartTitle";"Micro-Fit 3.0";"";
"TraceParts.InstanceId";"90-04042024-0445232N3XX9WWY2MK673V115V3T3RA";"";
"SUPPLIER";"Molex";"";
"DESIGN";"Micro-Fit 3.0 Receptacle Housing, Single Row, 3 Circuits, UL 94V-2, Glow-Wire Capable, Black";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.3";"";
